From,To,Hour,Fuel,Value,Technology
DK,DK,4,Power,-0.0,Export
UK,DK,4,Power,-0.0,Export
DE,UK,4,Power,-0.0,Export
FR,UK,4,Power,-0.0,Export
NO,UK,4,Power,-0.0,Export
DK,UK,4,Power,-0.0,Export
UK,UK,4,Power,-0.0,Export
DE,DE,5,Power,-0.0,Export
FR,DE,5,Power,-0.0,Export
NO,DE,5,Power,-0.0,Export
DK,DE,5,Power,-0.0,Export
UK,DE,5,Power,-0.0,Export
DE,FR,5,Power,-0.0,Export
FR,FR,5,Power,-0.0,Export
NO,FR,5,Power,-0.0,Export
DK,FR,5,Power,-0.0,Export
UK,FR,5,Power,-0.0,Export
DE,NO,5,Power,-0.0,Export
FR,NO,5,Power,-0.0,Export
NO,NO,5,Power,-0.0,Export
DK,NO,5,Power,1.0401929483333423,Export
UK,NO,5,Power,-0.0,Export
DE,DK,5,Power,-0.0,Export
FR,DK,5,Power,-0.0,Export
NO,DK,5,Power,-0.0,Export
DK,DK,5,Power,-0.0,Export
UK,DK,5,Power,-0.0,Export
DE,UK,5,Power,-0.0,Export
FR,UK,5,Power,-0.0,Export
NO,UK,5,Power,-0.0,Export
DK,UK,5,Power,-0.0,Export
UK,UK,5,Power,-0.0,Export
DE,DE,6,Power,-0.0,Export
FR,DE,6,Power,-0.0,Export
NO,DE,6,Power,-0.0,Export
DK,DE,6,Power,-0.0,Export
UK,DE,6,Power,-0.0,Export
DE,FR,6,Power,-0.0,Export
FR,FR,6,Power,-0.0,Export
NO,FR,6,Power,-0.0,Export
DK,FR,6,Power,-0.0,Export
UK,FR,6,Power,-0.0,Export
DE,NO,6,Power,-0.0,Export
FR,NO,6,Power,-0.0,Export
NO,NO,6,Power,-0.0,Export
DK,NO,6,Power,-0.0,Export
UK,NO,6,Power,-0.0,Export
DE,DK,6,Power,-0.0,Export
FR,DK,6,Power,-0.0,Export
NO,DK,6,Power,-0.0,Export
DK,DK,6,Power,-0.0,Export
UK,DK,6,Power,-0.0,Export
DE,UK,6,Power,-0.0,Export
FR,UK,6,Power,-0.0,Export
NO,UK,6,Power,-0.0,Export
DK,UK,6,Power,-0.0,Export
UK,UK,6,Power,-0.0,Export
DE,DE,7,Power,-0.0,Export
FR,DE,7,Power,-0.0,Export
NO,DE,7,Power,-0.0,Export
DK,DE,7,Power,-0.0,Export
UK,DE,7,Power,-0.0,Export
DE,FR,7,Power,-0.0,Export
FR,FR,7,Power,-0.0,Export
NO,FR,7,Power,-0.0,Export
DK,FR,7,Power,-0.0,Export
UK,FR,7,Power,-0.0,Export
DE,NO,7,Power,-0.0,Export
FR,NO,7,Power,-0.0,Export
NO,NO,7,Power,-0.0,Export
DK,NO,7,Power,1.1054364433333381,Export
UK,NO,7,Power,-0.0,Export
DE,DK,7,Power,-0.0,Export
FR,DK,7,Power,-0.0,Export
NO,DK,7,Power,-0.0,Export
DK,DK,7,Power,-0.0,Export
UK,DK,7,Power,-0.0,Export
DE,UK,7,Power,-0.0,Export
FR,UK,7,Power,-0.0,Export
NO,UK,7,Power,-0.0,Export
DK,UK,7,Power,-0.0,Export
UK,UK,7,Power,-0.0,Export
DE,DE,8,Power,-0.0,Export
FR,DE,8,Power,-0.0,Export
NO,DE,8,Power,-0.0,Export
DK,DE,8,Power,-0.0,Export
UK,DE,8,Power,-0.0,Export
DE,FR,8,Power,-0.0,Export
FR,FR,8,Power,-0.0,Export
NO,FR,8,Power,-0.0,Export
DK,FR,8,Power,-0.0,Export
UK,FR,8,Power,-0.0,Export
DE,NO,8,Power,-0.0,Export
FR,NO,8,Power,-0.0,Export
NO,NO,8,Power,-0.0,Export
DK,NO,8,Power,-0.0,Export
UK,NO,8,Power,-0.0,Export
DE,DK,8,Power,-0.0,Export
FR,DK,8,Power,-0.0,Export
NO,DK,8,Power,-0.0,Export
DK,DK,8,Power,-0.0,Export
UK,DK,8,Power,-0.0,Export
DE,UK,8,Power,-0.0,Export
FR,UK,8,Power,-0.0,Export
NO,UK,8,Power,-0.0,Export
DK,UK,8,Power,-0.0,Export
UK,UK,8,Power,-0.0,Export
DE,DE,9,Power,-0.0,Export
FR,DE,9,Power,-0.0,Export
NO,DE,9,Power,-0.0,Export
DK,DE,9,Power,-0.0,Export
UK,DE,9,Power,-0.0,Export
DE,FR,9,Power,-0.0,Export
FR,FR,9,Power,-0.0,Export
NO,FR,9,Power,-0.0,Export
DK,FR,9,Power,-0.0,Export
UK,FR,9,Power,-0.0,Export
DE,NO,9,Power,-0.0,Export
FR,NO,9,Power,-0.0,Export
NO,NO,9,Power,-0.0,Export
DK,NO,9,Power,-0.0,Export
UK,NO,9,Power,-0.0,Export
DE,DK,9,Power,-0.0,Export
FR,DK,9,Power,-0.0,Export
NO,DK,9,Power,-0.0,Export
DK,DK,9,Power,-0.0,Export
UK,DK,9,Power,-0.0,Export
DE,UK,9,Power,-0.0,Export
FR,UK,9,Power,-0.0,Export
NO,UK,9,Power,-0.0,Export
DK,UK,9,Power,-0.0,Export
UK,UK,9,Power,-0.0,Export
DE,DE,10,Power,-0.0,Export
FR,DE,10,Power,-0.0,Export
NO,DE,10,Power,-0.0,Export
DK,DE,10,Power,-0.0,Export
UK,DE,10,Power,-0.0,Export
DE,FR,10,Power,-0.0,Export
FR,FR,10,Power,-0.0,Export
NO,FR,10,Power,-0.0,Export
DK,FR,10,Power,-0.0,Export
UK,FR,10,Power,6.190337004990589,Export
DE,NO,10,Power,-0.0,Export
FR,NO,10,Power,-0.0,Export
NO,NO,10,Power,-0.0,Export
DK,NO,10,Power,-0.0,Export
UK,NO,10,Power,-0.0,Export
DE,DK,10,Power,-0.0,Export
FR,DK,10,Power,-0.0,Export
NO,DK,10,Power,-0.0,Export
DK,DK,10,Power,-0.0,Export
UK,DK,10,Power,-0.0,Export
DE,UK,10,Power,-0.0,Export
FR,UK,10,Power,-0.0,Export
NO,UK,10,Power,-0.0,Export
DK,UK,10,Power,-0.0,Export
UK,UK,10,Power,-0.0,Export
DE,DE,11,Power,-0.0,Export
FR,DE,11,Power,-0.0,Export
NO,DE,11,Power,-0.0,Export
DK,DE,11,Power,-0.0,Export
UK,DE,11,Power,-0.0,Export
DE,FR,11,Power,-0.0,Export
FR,FR,11,Power,-0.0,Export
NO,FR,11,Power,-0.0,Export
DK,FR,11,Power,-0.0,Export
UK,FR,11,Power,-0.0,Export
DE,NO,11,Power,-0.0,Export
FR,NO,11,Power,-0.0,Export
NO,NO,11,Power,-0.0,Export
DK,NO,11,Power,-0.0,Export
UK,NO,11,Power,-0.0,Export
DE,DK,11,Power,-0.0,Export
FR,DK,11,Power,-0.0,Export
NO,DK,11,Power,-0.0,Export
DK,DK,11,Power,-0.0,Export
UK,DK,11,Power,-0.0,Export
DE,UK,11,Power,-0.0,Export
FR,UK,11,Power,-0.0,Export
NO,UK,11,Power,-0.0,Export
DK,UK,11,Power,-0.0,Export
UK,UK,11,Power,-0.0,Export
DE,DE,12,Power,-0.0,Export
FR,DE,12,Power,-0.0,Export
NO,DE,12,Power,-0.0,Export
DK,DE,12,Power,-0.0,Export
UK,DE,12,Power,-0.0,Export
DE,FR,12,Power,-0.0,Export
FR,FR,12,Power,-0.0,Export
NO,FR,12,Power,-0.0,Export
DK,FR,12,Power,-0.0,Export
UK,FR,12,Power,-0.0,Export
DE,NO,12,Power,-0.0,Export
FR,NO,12,Power,-0.0,Export
NO,NO,12,Power,-0.0,Export
DK,NO,12,Power,-0.0,Export
UK,NO,12,Power,-0.0,Export
DE,DK,12,Power,-0.0,Export
FR,DK,12,Power,-0.0,Export
NO,DK,12,Power,-0.0,Export
DK,DK,12,Power,-0.0,Export
UK,DK,12,Power,-0.0,Export
DE,UK,12,Power,-0.0,Export
FR,UK,12,Power,-0.0,Export
NO,UK,12,Power,-0.0,Export
DK,UK,12,Power,-0.0,Export
UK,UK,12,Power,-0.0,Export
DE,DE,13,Power,-0.0,Export
FR,DE,13,Power,-0.0,Export
NO,DE,13,Power,-0.0,Export
DK,DE,13,Power,-0.0,Export
UK,DE,13,Power,-0.0,Export
DE,FR,13,Power,-0.0,Export
FR,FR,13,Power,-0.0,Export
NO,FR,13,Power,-0.0,Export
DK,FR,13,Power,-0.0,Export
UK,FR,13,Power,-0.0,Export
DE,NO,13,Power,-0.0,Export
FR,NO,13,Power,-0.0,Export
NO,NO,13,Power,-0.0,Export
DK,NO,13,Power,-0.0,Export
UK,NO,13,Power,-0.0,Export
DE,DK,13,Power,-0.0,Export
FR,DK,13,Power,-0.0,Export
NO,DK,13,Power,-0.0,Export
DK,DK,13,Power,-0.0,Export
UK,DK,13,Power,-0.0,Export
DE,UK,13,Power,-0.0,Export
FR,UK,13,Power,-0.0,Export
NO,UK,13,Power,-0.0,Export
DK,UK,13,Power,-0.0,Export
UK,UK,13,Power,-0.0,Export
DE,DE,14,Power,-0.0,Export
FR,DE,14,Power,-0.0,Export
NO,DE,14,Power,-0.0,Export
DK,DE,14,Power,-0.0,Export
UK,DE,14,Power,-0.0,Export
DE,FR,14,Power,-0.0,Export
FR,FR,14,Power,-0.0,Export
NO,FR,14,Power,-0.0,Export
DK,FR,14,Power,-0.0,Export
UK,FR,14,Power,-0.0,Export
DE,NO,14,Power,-0.0,Export
FR,NO,14,Power,-0.0,Export
NO,NO,14,Power,-0.0,Export
DK,NO,14,Power,1.878445418333338,Export
UK,NO,14,Power,-0.0,Export
DE,DK,14,Power,-0.0,Export
FR,DK,14,Power,-0.0,Export
NO,DK,14,Power,-0.0,Export
DK,DK,14,Power,-0.0,Export
UK,DK,14,Power,-0.0,Export
DE,UK,14,Power,-0.0,Export
FR,UK,14,Power,-0.0,Export
NO,UK,14,Power,-0.0,Export
DK,UK,14,Power,-0.0,Export
UK,UK,14,Power,-0.0,Export
DE,DE,15,Power,-0.0,Export
FR,DE,15,Power,-0.0,Export
NO,DE,15,Power,-0.0,Export
DK,DE,15,Power,-0.0,Export
UK,DE,15,Power,-0.0,Export
DE,FR,15,Power,-0.0,Export
FR,FR,15,Power,-0.0,Export
NO,FR,15,Power,-0.0,Export
DK,FR,15,Power,-0.0,Export
UK,FR,15,Power,-0.0,Export
DE,NO,15,Power,-0.0,Export
FR,NO,15,Power,-0.0,Export
NO,NO,15,Power,-0.0,Export
DK,NO,15,Power,-0.0,Export
UK,NO,15,Power,-0.0,Export
DE,DK,15,Power,-0.0,Export
FR,DK,15,Power,-0.0,Export
NO,DK,15,Power,-0.0,Export
DK,DK,15,Power,-0.0,Export
UK,DK,15,Power,-0.0,Export
DE,UK,15,Power,-0.0,Export
FR,UK,15,Power,-0.0,Export
NO,UK,15,Power,-0.0,Export
DK,UK,15,Power,-0.0,Export
UK,UK,15,Power,-0.0,Export
DE,DE,16,Power,-0.0,Export
FR,DE,16,Power,-0.0,Export
NO,DE,16,Power,-0.0,Export
DK,DE,16,Power,-0.0,Export
UK,DE,16,Power,-0.0,Export
DE,FR,16,Power,-0.0,Export
FR,FR,16,Power,-0.0,Export
NO,FR,16,Power,-0.0,Export
DK,FR,16,Power,-0.0,Export
UK,FR,16,Power,-0.0,Export
DE,NO,16,Power,-0.0,Export
FR,NO,16,Power,-0.0,Export
NO,NO,16,Power,-0.0,Export
DK,NO,16,Power,-0.0,Export
UK,NO,16,Power,-0.0,Export
DE,DK,16,Power,-0.0,Export
FR,DK,16,Power,-0.0,Export
NO,DK,16,Power,-0.0,Export
DK,DK,16,Power,-0.0,Export
UK,DK,16,Power,-0.0,Export
DE,UK,16,Power,-0.0,Export
FR,UK,16,Power,-0.0,Export
NO,UK,16,Power,-0.0,Export
DK,UK,16,Power,-0.0,Export
UK,UK,16,Power,-0.0,Export
DE,DE,17,Power,-0.0,Export
FR,DE,17,Power,-0.0,Export
NO,DE,17,Power,-0.0,Export
DK,DE,17,Power,-0.0,Export
UK,DE,17,Power,-0.0,Export
DE,FR,17,Power,-0.0,Export
FR,FR,17,Power,-0.0,Export
NO,FR,17,Power,-0.0,Export
DK,FR,17,Power,-0.0,Export
UK,FR,17,Power,-0.0,Export
DE,NO,17,Power,-0.0,Export
FR,NO,17,Power,-0.0,Export
NO,NO,17,Power,-0.0,Export
DK,NO,17,Power,-0.0,Export
UK,NO,17,Power,-0.0,Export
DE,DK,17,Power,-0.0,Export
FR,DK,17,Power,-0.0,Export
NO,DK,17,Power,-0.0,Export
DK,DK,17,Power,-0.0,Export
UK,DK,17,Power,-0.0,Export
DE,UK,17,Power,-0.0,Export
FR,UK,17,Power,-0.0,Export
NO,UK,17,Power,-0.0,Export
DK,UK,17,Power,-0.0,Export
UK,UK,17,Power,-0.0,Export
DE,DE,18,Power,-0.0,Export
FR,DE,18,Power,-0.0,Export
NO,DE,18,Power,-0.0,Export
DK,DE,18,Power,-0.0,Export
UK,DE,18,Power,-0.0,Export
DE,FR,18,Power,-0.0,Export
FR,FR,18,Power,-0.0,Export
NO,FR,18,Power,-0.0,Export
DK,FR,18,Power,-0.0,Export
UK,FR,18,Power,-0.0,Export
DE,NO,18,Power,-0.0,Export
FR,NO,18,Power,-0.0,Export
NO,NO,18,Power,-0.0,Export
DK,NO,18,Power,-0.0,Export
UK,NO,18,Power,-0.0,Export
DE,DK,18,Power,-0.0,Export
FR,DK,18,Power,-0.0,Export
NO,DK,18,Power,-0.0,Export
DK,DK,18,Power,-0.0,Export
UK,DK,18,Power,-0.0,Export
DE,UK,18,Power,-0.0,Export
FR,UK,18,Power,-0.0,Export
NO,UK,18,Power,-0.0,Export
DK,UK,18,Power,-0.0,Export
UK,UK,18,Power,-0.0,Export
DE,DE,19,Power,-0.0,Export
FR,DE,19,Power,-0.0,Export
NO,DE,19,Power,-0.0,Export
DK,DE,19,Power,-0.0,Export
UK,DE,19,Power,-0.0,Export
DE,FR,19,Power,-0.0,Export
FR,FR,19,Power,-0.0,Export
NO,FR,19,Power,-0.0,Export
DK,FR,19,Power,-0.0,Export
UK,FR,19,Power,-0.0,Export
DE,NO,19,Power,-0.0,Export
FR,NO,19,Power,-0.0,Export
NO,NO,19,Power,-0.0,Export
DK,NO,19,Power,-0.0,Export
UK,NO,19,Power,-0.0,Export
DE,DK,19,Power,-0.0,Export
FR,DK,19,Power,-0.0,Export
NO,DK,19,Power,-0.0,Export
DK,DK,19,Power,-0.0,Export
UK,DK,19,Power,-0.0,Export
DE,UK,19,Power,-0.0,Export
FR,UK,19,Power,-0.0,Export
NO,UK,19,Power,-0.0,Export
DK,UK,19,Power,-0.0,Export
UK,UK,19,Power,-0.0,Export
DE,DE,20,Power,-0.0,Export
FR,DE,20,Power,-0.0,Export
NO,DE,20,Power,-0.0,Export
DK,DE,20,Power,-0.0,Export
UK,DE,20,Power,-0.0,Export
DE,FR,20,Power,-0.0,Export
FR,FR,20,Power,-0.0,Export
NO,FR,20,Power,-0.0,Export
DK,FR,20,Power,-0.0,Export
UK,FR,20,Power,-0.0,Export
DE,NO,20,Power,-0.0,Export
FR,NO,20,Power,-0.0,Export
NO,NO,20,Power,-0.0,Export
DK,NO,20,Power,-0.0,Export
UK,NO,20,Power,-0.0,Export
DE,DK,20,Power,-0.0,Export
FR,DK,20,Power,-0.0,Export
NO,DK,20,Power,-0.0,Export
DK,DK,20,Power,-0.0,Export
UK,DK,20,Power,-0.0,Export
DE,UK,20,Power,-0.0,Export
FR,UK,20,Power,-0.0,Export
NO,UK,20,Power,-0.0,Export
DK,UK,20,Power,-0.0,Export
UK,UK,20,Power,-0.0,Export
DE,DE,21,Power,-0.0,Export
FR,DE,21,Power,-0.0,Export
NO,DE,21,Power,-0.0,Export
DK,DE,21,Power,-0.0,Export
UK,DE,21,Power,-0.0,Export
DE,FR,21,Power,-0.0,Export
FR,FR,21,Power,-0.0,Export
NO,FR,21,Power,-0.0,Export
DK,FR,21,Power,-0.0,Export
UK,FR,21,Power,-0.0,Export
DE,NO,21,Power,-0.0,Export
FR,NO,21,Power,-0.0,Export
NO,NO,21,Power,-0.0,Export
DK,NO,21,Power,-0.0,Export
UK,NO,21,Power,-0.0,Export
DE,DK,21,Power,-0.0,Export
FR,DK,21,Power,-0.0,Export
NO,DK,21,Power,-0.0,Export
DK,DK,21,Power,-0.0,Export
UK,DK,21,Power,-0.0,Export
DE,UK,21,Power,-0.0,Export
FR,UK,21,Power,-0.0,Export
NO,UK,21,Power,-0.0,Export
DK,UK,21,Power,-0.0,Export
UK,UK,21,Power,-0.0,Export
DE,DE,22,Power,-0.0,Export
FR,DE,22,Power,-0.0,Export
NO,DE,22,Power,-0.0,Export
DK,DE,22,Power,-0.0,Export
UK,DE,22,Power,-0.0,Export
DE,FR,22,Power,-0.0,Export
FR,FR,22,Power,-0.0,Export
NO,FR,22,Power,-0.0,Export
DK,FR,22,Power,-0.0,Export
UK,FR,22,Power,-0.0,Export
DE,NO,22,Power,-0.0,Export
FR,NO,22,Power,-0.0,Export
NO,NO,22,Power,-0.0,Export
DK,NO,22,Power,-0.0,Export
UK,NO,22,Power,-0.0,Export
DE,DK,22,Power,-0.0,Export
FR,DK,22,Power,-0.0,Export
NO,DK,22,Power,-0.0,Export
DK,DK,22,Power,-0.0,Export
UK,DK,22,Power,-0.0,Export
DE,UK,22,Power,-0.0,Export
FR,UK,22,Power,-0.0,Export
NO,UK,22,Power,-0.0,Export
DK,UK,22,Power,-0.0,Export
UK,UK,22,Power,-0.0,Export
DE,DE,23,Power,-0.0,Export
FR,DE,23,Power,-0.0,Export
NO,DE,23,Power,-0.0,Export
DK,DE,23,Power,-0.0,Export
UK,DE,23,Power,-0.0,Export
DE,FR,23,Power,-0.0,Export
FR,FR,23,Power,-0.0,Export
NO,FR,23,Power,-0.0,Export
DK,FR,23,Power,-0.0,Export
UK,FR,23,Power,-0.0,Export
DE,NO,23,Power,-0.0,Export
FR,NO,23,Power,-0.0,Export
NO,NO,23,Power,-0.0,Export
DK,NO,23,Power,-0.0,Export
UK,NO,23,Power,-0.0,Export
DE,DK,23,Power,-0.0,Export
FR,DK,23,Power,-0.0,Export
NO,DK,23,Power,-0.0,Export
DK,DK,23,Power,-0.0,Export
UK,DK,23,Power,-0.0,Export
DE,UK,23,Power,-0.0,Export
FR,UK,23,Power,-0.0,Export
NO,UK,23,Power,-0.0,Export
DK,UK,23,Power,-0.0,Export
UK,UK,23,Power,-0.0,Export
DE,DE,24,Power,-0.0,Export
FR,DE,24,Power,-0.0,Export
NO,DE,24,Power,-0.0,Export
DK,DE,24,Power,-0.0,Export
UK,DE,24,Power,-0.0,Export
DE,FR,24,Power,-0.0,Export
FR,FR,24,Power,-0.0,Export
NO,FR,24,Power,-0.0,Export
DK,FR,24,Power,-0.0,Export
UK,FR,24,Power,-0.0,Export
DE,NO,24,Power,-0.0,Export
FR,NO,24,Power,-0.0,Export
NO,NO,24,Power,-0.0,Export
DK,NO,24,Power,-0.0,Export
UK,NO,24,Power,-0.0,Export
DE,DK,24,Power,-0.0,Export
FR,DK,24,Power,-0.0,Export
NO,DK,24,Power,-0.0,Export
DK,DK,24,Power,-0.0,Export
UK,DK,24,Power,-0.0,Export
DE,UK,24,Power,-0.0,Export
FR,UK,24,Power,-0.0,Export
NO,UK,24,Power,-0.0,Export
DK,UK,24,Power,-0.0,Export
UK,UK,24,Power,-0.0,Export
DE,DE,25,Power,-0.0,Export
FR,DE,25,Power,-0.0,Export
NO,DE,25,Power,-0.0,Export
DK,DE,25,Power,-0.0,Export
UK,DE,25,Power,-0.0,Export
DE,FR,25,Power,-0.0,Export
FR,FR,25,Power,-0.0,Export
NO,FR,25,Power,-0.0,Export
DK,FR,25,Power,-0.0,Export
UK,FR,25,Power,-0.0,Export
DE,NO,25,Power,-0.0,Export
FR,NO,25,Power,-0.0,Export
NO,NO,25,Power,-0.0,Export
DK,NO,25,Power,-0.0,Export
UK,NO,25,Power,-0.0,Export
DE,DK,25,Power,-0.0,Export
FR,DK,25,Power,-0.0,Export
NO,DK,25,Power,-0.0,Export
DK,DK,25,Power,-0.0,Export
UK,DK,25,Power,-0.0,Export
DE,UK,25,Power,-0.0,Export
FR,UK,25,Power,-0.0,Export
NO,UK,25,Power,-0.0,Export
DK,UK,25,Power,-0.0,Export
UK,UK,25,Power,-0.0,Export
DE,DE,26,Power,-0.0,Export
FR,DE,26,Power,-0.0,Export
NO,DE,26,Power,-0.0,Export
DK,DE,26,Power,1.6596860216666691,Export
UK,DE,26,Power,-0.0,Export
DE,FR,26,Power,-0.0,Export
FR,FR,26,Power,-0.0,Export
NO,FR,26,Power,-0.0,Export
DK,FR,26,Power,-0.0,Export
UK,FR,26,Power,-0.0,Export
DE,NO,26,Power,-0.0,Export
FR,NO,26,Power,-0.0,Export
NO,NO,26,Power,-0.0,Export
DK,NO,26,Power,-0.0,Export
UK,NO,26,Power,-0.0,Export
DE,DK,26,Power,-0.0,Export
FR,DK,26,Power,-0.0,Export
NO,DK,26,Power,-0.0,Export
DK,DK,26,Power,-0.0,Export
UK,DK,26,Power,-0.0,Export
DE,UK,26,Power,-0.0,Export
FR,UK,26,Power,-0.0,Export
NO,UK,26,Power,-0.0,Export
DK,UK,26,Power,-0.0,Export
UK,UK,26,Power,-0.0,Export
DE,DE,27,Power,-0.0,Export
FR,DE,27,Power,-0.0,Export
NO,DE,27,Power,-0.0,Export
DK,DE,27,Power,1.084489099999999,Export
UK,DE,27,Power,-0.0,Export
DE,FR,27,Power,-0.0,Export
FR,FR,27,Power,-0.0,Export
NO,FR,27,Power,-0.0,Export
DK,FR,27,Power,-0.0,Export
UK,FR,27,Power,-0.0,Export
DE,NO,27,Power,-0.0,Export
FR,NO,27,Power,-0.0,Export
NO,NO,27,Power,-0.0,Export
DK,NO,27,Power,3.3940028049999995,Export
UK,NO,27,Power,-0.0,Export
DE,DK,27,Power,-0.0,Export
FR,DK,27,Power,-0.0,Export
NO,DK,27,Power,-0.0,Export
DK,DK,27,Power,-0.0,Export
UK,DK,27,Power,-0.0,Export
DE,UK,27,Power,-0.0,Export
FR,UK,27,Power,-0.0,Export
NO,UK,27,Power,-0.0,Export
DK,UK,27,Power,-0.0,Export
UK,UK,27,Power,-0.0,Export
DE,DE,28,Power,-0.0,Export
FR,DE,28,Power,-0.0,Export
NO,DE,28,Power,-0.0,Export
DK,DE,28,Power,-0.0,Export
UK,DE,28,Power,-0.0,Export
DE,FR,28,Power,-0.0,Export
FR,FR,28,Power,-0.0,Export
NO,FR,28,Power,-0.0,Export
DK,FR,28,Power,-0.0,Export
UK,FR,28,Power,-0.0,Export
DE,NO,28,Power,-0.0,Export
FR,NO,28,Power,-0.0,Export
NO,NO,28,Power,-0.0,Export
DK,NO,28,Power,4.168177630000001,Export
UK,NO,28,Power,-0.0,Export
DE,DK,28,Power,-0.0,Export
FR,DK,28,Power,-0.0,Export
NO,DK,28,Power,-0.0,Export
DK,DK,28,Power,-0.0,Export
UK,DK,28,Power,-0.0,Export
DE,UK,28,Power,-0.0,Export
FR,UK,28,Power,-0.0,Export
NO,UK,28,Power,-0.0,Export
DK,UK,28,Power,-0.0,Export
UK,UK,28,Power,-0.0,Export
DE,DE,29,Power,-0.0,Export
FR,DE,29,Power,-0.0,Export
NO,DE,29,Power,-0.0,Export
DK,DE,29,Power,-0.0,Export
UK,DE,29,Power,-0.0,Export
DE,FR,29,Power,-0.0,Export
FR,FR,29,Power,-0.0,Export
NO,FR,29,Power,-0.0,Export
DK,FR,29,Power,-0.0,Export
UK,FR,29,Power,-0.0,Export
DE,NO,29,Power,-0.0,Export
FR,NO,29,Power,-0.0,Export
NO,NO,29,Power,-0.0,Export
DK,NO,29,Power,1.6075244899999994,Export
UK,NO,29,Power,-0.0,Export
DE,DK,29,Power,-0.0,Export
FR,DK,29,Power,-0.0,Export
NO,DK,29,Power,-0.0,Export
DK,DK,29,Power,-0.0,Export
UK,DK,29,Power,-0.0,Export
DE,UK,29,Power,-0.0,Export
FR,UK,29,Power,-0.0,Export
NO,UK,29,Power,-0.0,Export
DK,UK,29,Power,-0.0,Export
UK,UK,29,Power,-0.0,Export
DE,DE,30,Power,-0.0,Export
FR,DE,30,Power,-0.0,Export
NO,DE,30,Power,-0.0,Export
DK,DE,30,Power,-0.0,Export
UK,DE,30,Power,-0.0,Export
DE,FR,30,Power,-0.0,Export
FR,FR,30,Power,-0.0,Export
