Region,Storage,Hour,Fuel,Value
DE,H2Tank,15,H2,-0.0
DE,H2Tank,16,H2,-0.0
DE,H2Tank,17,H2,-0.0
DE,H2Tank,18,H2,-0.0
DE,H2Tank,19,H2,-0.0
DE,H2Tank,20,H2,-0.0
DE,H2Tank,21,H2,-0.0
DE,H2Tank,22,H2,-0.0
DE,H2Tank,23,H2,-0.0
DE,H2Tank,24,H2,-0.0
DE,H2Tank,25,H2,-0.0
DE,H2Tank,26,H2,-0.0
DE,H2Tank,27,H2,-0.0
DE,H2Tank,28,H2,0.0
DE,H2Tank,29,H2,11.875
DE,H2Tank,30,H2,23.75
DE,H2Tank,31,H2,35.625
DE,H2Tank,32,H2,44.429679443750004
DE,H2Tank,33,H2,44.429679443750004
DE,H2Tank,34,H2,44.429679443750004
DE,H2Tank,35,H2,44.429679443750004
DE,H2Tank,36,H2,41.759584426206146
DE,H2Tank,37,H2,31.578947368421048
DE,H2Tank,38,H2,21.052631578947366
DE,H2Tank,39,H2,10.526315789473683
DE,H2Tank,40,H2,0.0
DE,H2Tank,41,H2,-0.0
DE,H2Tank,42,H2,0.0
DE,H2Tank,43,H2,-0.0
DE,H2Tank,44,H2,0.0
DE,H2Tank,45,H2,-0.0
DE,H2Tank,46,H2,0.0
DE,H2Tank,47,H2,-0.0
DE,H2Tank,48,H2,-0.0
DE,H2Tank,49,H2,0.0
DE,H2Tank,50,H2,9.342372705477763
DE,H2Tank,51,H2,21.217372705477764
DE,H2Tank,52,H2,33.092372705477764
DE,H2Tank,53,H2,42.53400056558888
DE,H2Tank,54,H2,50.0
DE,H2Tank,55,H2,50.0
DE,H2Tank,56,H2,50.0
DE,H2Tank,57,H2,50.0
DE,H2Tank,58,H2,50.0
DE,H2Tank,59,H2,50.0
DE,H2Tank,60,H2,48.070342140350874
DE,H2Tank,61,H2,48.070342140350874
DE,H2Tank,62,H2,48.070342140350874
DE,H2Tank,63,H2,41.43520046818222
DE,H2Tank,64,H2,30.90888467870853
DE,H2Tank,65,H2,20.382568889234847
DE,H2Tank,66,H2,9.856253099761163
DE,H2Tank,67,H2,9.856253099761163
DE,H2Tank,68,H2,9.856253099761163
DE,H2Tank,69,H2,9.856253099761163
DE,H2Tank,70,H2,9.856253099761163
DE,H2Tank,71,H2,9.856253099761163
DE,H2Tank,72,H2,0.0
DE,H2Tank,73,H2,0.0
DE,H2Tank,74,H2,0.0
DE,H2Tank,75,H2,11.875
DE,H2Tank,76,H2,23.75
DE,H2Tank,77,H2,35.625
DE,H2Tank,78,H2,47.5
DE,H2Tank,79,H2,50.0
DE,H2Tank,80,H2,50.0
DE,H2Tank,81,H2,50.0
DE,H2Tank,82,H2,50.0
DE,H2Tank,83,H2,44.82579977192982
DE,H2Tank,84,H2,42.46293554385964
DE,H2Tank,85,H2,38.84725097971491
DE,H2Tank,86,H2,29.781729558662278
DE,H2Tank,87,H2,26.183054789473683
DE,H2Tank,88,H2,25.0
DE,H2Tank,89,H2,25.0
DE,H2Tank,90,H2,25.0
DE,H2Tank,91,H2,25.0
DE,H2Tank,92,H2,25.0
DE,H2Tank,93,H2,25.0
DE,H2Tank,94,H2,25.0
DE,H2Tank,95,H2,25.0
DE,H2Tank,96,H2,25.0
DE,H2Tank,97,H2,25.0
DE,H2Tank,98,H2,25.0
DE,H2Tank,99,H2,25.0
DE,H2Tank,100,H2,25.0
DE,H2Tank,101,H2,25.0
DE,H2Tank,102,H2,25.0
DE,H2Tank,103,H2,25.0
DE,H2Tank,104,H2,25.0
DE,H2Tank,105,H2,25.0
DE,H2Tank,106,H2,25.0
DE,H2Tank,107,H2,25.0
DE,H2Tank,108,H2,25.0
DE,H2Tank,109,H2,25.0
DE,H2Tank,110,H2,25.0
DE,H2Tank,111,H2,25.0
DE,H2Tank,112,H2,25.0
DE,H2Tank,113,H2,25.0
DE,H2Tank,114,H2,25.0
DE,H2Tank,115,H2,25.0
DE,H2Tank,116,H2,25.0
DE,H2Tank,117,H2,25.0
DE,H2Tank,118,H2,25.0
DE,H2Tank,119,H2,25.0
DE,H2Tank,120,H2,25.0
FR,Battery,1,Power,24.875
FR,Battery,2,Power,24.750625
FR,Battery,3,Power,6.251700270555904
FR,Battery,4,Power,2.2085711960193315
FR,Battery,5,Power,2.1975283400392347
FR,Battery,6,Power,2.1865406983390385
FR,Battery,7,Power,2.1756079948473435
FR,Battery,8,Power,2.1647299548731067
FR,Battery,9,Power,2.153906305098741
FR,Battery,10,Power,2.1431367735732474
FR,Battery,11,Power,2.1324210897053812
FR,Battery,12,Power,2.1217589842568545
FR,Battery,13,Power,2.11115018933557
FR,Battery,14,Power,2.1005944383888924
FR,Battery,15,Power,0.7978188691602669
FR,Battery,16,Power,0.0
FR,Battery,17,Power,0.0
FR,Battery,18,Power,-0.0
FR,Battery,19,Power,-0.0
FR,Battery,20,Power,-0.0
FR,Battery,21,Power,-0.0
FR,Battery,22,Power,0.0
FR,Battery,23,Power,-0.0
FR,Battery,24,Power,-0.0
FR,Battery,25,Power,-0.0
FR,Battery,26,Power,0.0
FR,Battery,27,Power,0.0
FR,Battery,28,Power,-0.0
FR,Battery,29,Power,-0.0
FR,Battery,30,Power,2.994566045999987
