Region,Hour,Technology,Fuel,Value
UK,43,SolarPV,Power,-0.0
DE,44,SolarPV,Power,-0.0
FR,44,SolarPV,Power,-0.0
NO,44,SolarPV,Power,-0.0
DK,44,SolarPV,Power,-0.0
UK,44,SolarPV,Power,-0.0
DE,45,SolarPV,Power,-0.0
FR,45,SolarPV,Power,-0.0
NO,45,SolarPV,Power,-0.0
DK,45,SolarPV,Power,-0.0
UK,45,SolarPV,Power,-0.0
DE,46,SolarPV,Power,-0.0
FR,46,SolarPV,Power,-0.0
NO,46,SolarPV,Power,-0.0
DK,46,SolarPV,Power,-0.0
UK,46,SolarPV,Power,-0.0
DE,47,SolarPV,Power,-0.0
FR,47,SolarPV,Power,-0.0
NO,47,SolarPV,Power,-0.0
DK,47,SolarPV,Power,-0.0
UK,47,SolarPV,Power,-0.0
DE,48,SolarPV,Power,-0.0
FR,48,SolarPV,Power,-0.0
NO,48,SolarPV,Power,-0.0
DK,48,SolarPV,Power,-0.0
UK,48,SolarPV,Power,-0.0
DE,49,SolarPV,Power,-0.0
FR,49,SolarPV,Power,-0.0
NO,49,SolarPV,Power,-0.0
DK,49,SolarPV,Power,-0.0
UK,49,SolarPV,Power,-0.0
DE,50,SolarPV,Power,-0.0
FR,50,SolarPV,Power,-0.0
NO,50,SolarPV,Power,-0.0
DK,50,SolarPV,Power,-0.0
UK,50,SolarPV,Power,-0.0
DE,51,SolarPV,Power,-0.0
FR,51,SolarPV,Power,-0.0
NO,51,SolarPV,Power,-0.0
DK,51,SolarPV,Power,-0.0
UK,51,SolarPV,Power,-0.0
DE,52,SolarPV,Power,-0.0
FR,52,SolarPV,Power,-0.0
NO,52,SolarPV,Power,-0.0
DK,52,SolarPV,Power,-0.0
UK,52,SolarPV,Power,-0.0
DE,53,SolarPV,Power,-0.0
FR,53,SolarPV,Power,-0.0
NO,53,SolarPV,Power,-0.0
DK,53,SolarPV,Power,-0.0
UK,53,SolarPV,Power,-0.0
DE,54,SolarPV,Power,-0.0
FR,54,SolarPV,Power,-0.0
NO,54,SolarPV,Power,-0.0
DK,54,SolarPV,Power,-0.0
UK,54,SolarPV,Power,-0.0
DE,55,SolarPV,Power,-0.0
FR,55,SolarPV,Power,-0.0
NO,55,SolarPV,Power,-0.0
DK,55,SolarPV,Power,-0.0
UK,55,SolarPV,Power,-0.0
DE,56,SolarPV,Power,-0.0
FR,56,SolarPV,Power,-0.0
NO,56,SolarPV,Power,-0.0
DK,56,SolarPV,Power,-0.0
UK,56,SolarPV,Power,-0.0
DE,57,SolarPV,Power,-0.0
FR,57,SolarPV,Power,-0.0
NO,57,SolarPV,Power,-0.0
DK,57,SolarPV,Power,-0.0
UK,57,SolarPV,Power,-0.0
DE,58,SolarPV,Power,-0.0
FR,58,SolarPV,Power,-0.0
NO,58,SolarPV,Power,-0.0
DK,58,SolarPV,Power,-0.0
UK,58,SolarPV,Power,-0.0
DE,59,SolarPV,Power,-0.0
FR,59,SolarPV,Power,-0.0
NO,59,SolarPV,Power,-0.0
DK,59,SolarPV,Power,-0.0
UK,59,SolarPV,Power,-0.0
DE,60,SolarPV,Power,-0.0
FR,60,SolarPV,Power,-0.0
NO,60,SolarPV,Power,-0.0
DK,60,SolarPV,Power,-0.0
UK,60,SolarPV,Power,-0.0
DE,61,SolarPV,Power,-0.0
FR,61,SolarPV,Power,-0.0
NO,61,SolarPV,Power,-0.0
DK,61,SolarPV,Power,-0.0
UK,61,SolarPV,Power,-0.0
DE,62,SolarPV,Power,-0.0
